topic2, 10002, pub1, 0, 1544308253755, 1544308253793
water_pressure, 10005, pub1, 1, 1544308253768, 1544308253939
water_pressure, 10005, pub1, 4, 1544308253812, 1544308254204
topic1, 10003, pub1, 5, 1544308253814, 1544308254243
topic4, 10004, pub1, 6, 1544308253912, 1544308254273
topic3, 10006, pub1, 7, 1544308253947, 1544308254347
topic2, 10002, pub1, 8, 1544308253958, 1544308254404
water_pressure, 10005, pub1, 9, 1544308253979, 1544308254481
topic1, 10003, pub1, 12, 1544308254049, 1544308254615
water_pressure, 10005, pub1, 13, 1544308254113, 1544308254647
smoke, 10001, pub1, 14, 1544308254118, 1544308254678
smoke, 10001, pub1, 15, 1544308254126, 1544308254728
topic3, 10006, pub1, 16, 1544308254142, 1544308254797
topic1, 10003, pub1, 17, 1544308254165, 1544308254848
smoke, 10001, pub1, 18, 1544308254201, 1544308254892
topic2, 10002, pub1, 19, 1544308254205, 1544308254945
water_pressure, 10005, pub1, 20, 1544308254217, 1544308254986
water_pressure, 10005, pub1, 21, 1544308254225, 1544308255022
topic2, 10002, pub1, 22, 1544308254234, 1544308255036
topic2, 10002, pub1, 23, 1544308254240, 1544308255092
smoke, 10001, pub1, 24, 1544308254247, 1544308255139
topic1, 10003, pub1, 25, 1544308254324, 1544308255210
topic4, 10004, pub1, 26, 1544308254331, 1544308255244
smoke, 10001, pub1, 27, 1544308254357, 1544308255298
topic4, 10004, pub1, 28, 1544308254405, 1544308255370
smoke, 10001, pub1, 30, 1544308254470, 1544308255477
topic3, 10006, pub1, 31, 1544308254478, 1544308255537
topic4, 10004, pub1, 33, 1544308254530, 1544308255846
topic3, 10006, pub1, 34, 1544308254571, 1544308256250
water_pressure, 10005, pub1, 37, 1544308254614, 1544308256801
topic4, 10004, pub1, 38, 1544308254624, 1544308256906
topic4, 10004, pub1, 39, 1544308254664, 1544308257054
topic2, 10002, pub1, 40, 1544308254723, 1544308257209
topic4, 10004, pub1, 41, 1544308254728, 1544308257316
topic2, 10002, pub1, 42, 1544308254734, 1544308257436
topic2, 10002, pub1, 43, 1544308254746, 1544308257521
water_pressure, 10005, pub1, 45, 1544308254767, 1544308257639
topic2, 10002, pub1, 46, 1544308254780, 1544308257658
topic4, 10004, pub1, 47, 1544308254796, 1544308257676
water_pressure, 10005, pub1, 48, 1544308254832, 1544308257720
smoke, 10001, pub1, 49, 1544308254839, 1544308257754
topic2, 10002, pub1, 50, 1544308254856, 1544308257811
topic2, 10002, pub1, 51, 1544308254879, 1544308257853
topic1, 10003, pub1, 52, 1544308254898, 1544308257884
smoke, 10001, pub1, 53, 1544308254925, 1544308257914
smoke, 10001, pub1, 54, 1544308254932, 1544308257947
topic1, 10003, pub1, 55, 1544308254935, 1544308258017
topic1, 10003, pub1, 56, 1544308254941, 1544308258084
topic4, 10004, pub1, 57, 1544308254995, 1544308258121
topic1, 10003, pub1, 58, 1544308254997, 1544308258203
topic3, 10006, pub1, 59, 1544308255041, 1544308258250
smoke, 10001, pub1, 60, 1544308255068, 1544308258307
topic1, 10003, pub1, 61, 1544308255068, 1544308258360
topic2, 10002, pub1, 62, 1544308255087, 1544308258390
topic1, 10003, pub1, 63, 1544308255095, 1544308258470
smoke, 10001, pub1, 64, 1544308255110, 1544308258501
